X.periodo,escuela,cve.municipio,municipio,programa,programa.desglose,clave.carr,carrera,nuevo.ingreso,egresados,titulados,clasificacion,region,matricula
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 141,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,511300009,LICENCIATURA EN INTERVENCIÓN EDUCATIVA,22,16,11,OTRO,centro,71
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 141,39,GUADALAJARA,LICENCIATURA,LICENCIATURA,511000007,LICENCIATURA EN EDUCACIÓN,0,0,18,OTRO,centro,0
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 142,98,SAN PEDRO TLAQUEPAQUE,LICENCIATURA,LICENCIATURA,511300009,LICENCIATURA EN INTERVENCIÓN EDUCATIVA,44,43,11,OTRO,centro,209
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 142,98,SAN PEDRO TLAQUEPAQUE,LICENCIATURA,LICENCIATURA,511000007,LICENCIATURA EN EDUCACIÓN,0,0,59,OTRO,centro,44
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 143,15,AUTLAN DE NAVARRO,LICENCIATURA,LICENCIATURA,511300009,LICENCIATURA EN INTERVENCIÓN EDUCATIVA,24,19,13,OTRO,sierra.amula,76
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 143,15,AUTLAN DE NAVARRO,LICENCIATURA,LICENCIATURA,511000007,LICENCIATURA EN EDUCACIÓN,0,1,3,OTRO,sierra.amula,5
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 143,15,AUTLAN DE NAVARRO,LICENCIATURA,LIC. FORM. DOC.,512100003,LICENCIATURA EN EDUCACIÓN PREESCOLAR EN EL MEDIO INDÍGENA,0,0,1,OTRO,sierra.amula,0
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 143,15,AUTLAN DE NAVARRO,LICENCIATURA,LIC. FORM. DOC.,512200017,LICENCIATURA EN EDUCACIÓN PRIMARIA EN EL MEDIO INDÍGENA,0,0,1,OTRO,sierra.amula,0
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 144,23,ZAPOTLAN EL GRANDE,LICENCIATURA,LICENCIATURA,511300009,LICENCIATURA EN INTERVENCIÓN EDUCATIVA,105,52,27,OTRO,sur,329
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 144,23,ZAPOTLAN EL GRANDE,LICENCIATURA,LICENCIATURA,511000007,LICENCIATURA EN EDUCACIÓN,0,1,4,OTRO,sur,6
p2014-2015,UNIVERSIDAD PEDAGÓGICA NACIONAL 145,120,ZAPOPAN,LICENCIATURA,LICENCIATURA,511300009,LICENCIATURA EN INTERVENCIÓN EDUCATIVA,39,46,1,OTRO,centro,157
